Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
83.63910984992981	0	-393.4308	146.06915	42.693024	-774.7044	102.40409207161126	25.839567661093692	40040	40040
172.48307991027832	1	-221.7678	176.0268	9.880047	-770.10913	109.91483516483517	41.07385334089721	40009	80049
261.38037610054016	2	-127.36632	55.76722	81.14725	-354.3563	97.28883495145631	68.58324664232428	40083	120132
343.1747694015503	3	-119.44929	33.620068	34.22528	-266.5649	83.74058577405857	19.67730425098263	40028	160160
426.2988157272339	4	-93.21888	30.281408	-27.644524	-281.70578	84.43881856540085	18.769685909805084	40024	200184
517.3303468227386	5	-84.887344	38.78935	53.086998	-305.35028	95.55847255369929	67.47026778086095	40039	240223
613.8906590938568	6	-72.92624	46.576954	51.968826	-288.68774	112.61516853932584	93.86714072024387	40091	280314
723.6897406578064	7	-51.95686	52.72387	54.20903	-379.47833	137.94137931034481	141.4955342715351	40003	320317
859.9250340461731	8	-24.785137	54.768345	74.34332	-225.7973	183.42342342342343	219.70512792178297	40720	361037
1000.749817609787	9	-3.671025	53.57604	62.53076	-295.8692	209.93193717277487	252.32815535578385	40097	401134
1172.2172639369965	10	5.243712	46.963882	91.83568	-210.99449	327.256	356.749254328583	40907	442041
1365.756020307541	11	-4.868214	49.5993	66.243515	-169.62892	537.5657894736842	418.08033525194264	40855	482896
1569.6890470981598	12	-21.027262	58.698532	75.44748	-231.68356	758.2592592592592	351.6182265313915	40946	523842
1779.470741033554	13	-28.632675	69.3447	42.939087	-326.3272	869.6304347826087	282.06616235076694	40003	563845
1980.523238658905	14	-37.506546	67.039734	59.22116	-277.32452	832.9795918367347	287.29281725934777	40816	604661
2185.289131164551	15	-33.8791	59.659832	69.87838	-261.70837	869.0425531914893	257.62920389556814	40845	645506
2386.629441022873	16	-36.045597	58.965763	27.129913	-222.41077	935.0697674418604	181.02105689527062	40208	685714
2592.5672233104706	17	-16.141687	48.17181	54.422592	-164.00728	947.8139534883721	170.09727118847402	40756	726470
2798.125529050827	18	-2.5899801	49.55728	79.23143	-202.95135	953.2325581395348	162.84788696450673	40989	767459
3013.7891643047333	19	20.451292	34.097675	72.309784	-73.4312	999.1219512195122	5.553268086149349	40964	808423
3225.944235563278	20	15.728898	33.182415	68.52465	-52.015533	1000.0	0.0	41000	849423
3434.3512213230133	21	32.401505	39.430286	94.51405	-94.60324	969.7857142857143	135.12772365684353	40731	890154
3635.2629442214966	22	76.372284	30.645523	134.66478	-0.42196655	965.3809523809524	154.87659486568074	40546	930700
3823.366143465042	23	107.82807	32.729374	165.95909	24.582253	918.0227272727273	229.01285083398145	40393	971093
3998.608400821686	24	116.38788	48.134003	176.01619	-5.0710487	841.3125	309.9354876589912	40383	1011476
4161.95845913887	25	109.502785	62.241837	185.71945	-5.190466	702.421052631579	375.90470738003654	40038	1051514
4481.425723075867	26	114.0742	71.92852	302.3365	3.742775	661.9344262295082	388.39463068212416	40378	1091892
4780.159675836563	27	86.43952	64.75156	253.20522	-0.6227684	487.5301204819277	388.4064861589556	40465	1132357
4984.834187507629	28	111.46277	80.84686	304.523	17.351936	515.1794871794872	387.713142161657	40184	1172541
5196.98748421669	29	102.79578	71.00341	287.79773	5.5465755	495.0740740740741	391.3576804142272	40101	1212642
5414.285493612289	30	93.735565	66.64795	277.92194	-3.640583	507.24050632911394	399.0911578615692	40072	1252714
5644.371270418167	31	91.64704	76.35248	296.64658	-6.3971214	421.2886597938144	360.4645330155539	40865	1293579
5863.388867139816	32	90.49918	68.99015	280.9048	-18.313787	488.109756097561	392.4962328884799	40025	1333604
6076.485486507416	33	95.051186	75.50667	299.16272	-3.7735786	524.025641025641	395.40469286214795	40874	1374478
6243.074481725693	34	105.43036	73.24494	264.00995	-32.95765	606.2878787878788	397.5509788217948	40015	1414493
6374.012212514877	35	132.07693	75.80406	282.43182	9.915955	688.5084745762712	363.92946666605957	40622	1455115
6509.4660522937775	36	130.39499	75.89016	308.20673	-14.4422035	724.9285714285714	358.59576610633286	40596	1495711
6650.023746728897	37	121.7208	74.39241	295.16318	-26.94295	772.5849056603773	341.4709818861247	40947	1536658
6784.892380475998	38	127.96582	59.77561	252.47386	-24.997684	787.9607843137255	338.78531352201264	40186	1576844
6925.016469478607	39	128.31825	60.393677	270.69373	-16.367142	821.0816326530612	309.8355611752192	40233	1617077
7072.722804546356	40	145.4199	48.1576	267.0217	23.973476	937.2790697674419	175.83175435908936	40303	1657380
7223.793480396271	41	148.33458	35.000736	260.3684	73.41533	982.1219512195122	94.66299535127584	40267	1697647
7395.357855558395	42	147.45195	24.793764	193.66687	91.85436	1000.0	0.0	41000	1738647
7567.828171491623	43	150.1399	26.961092	261.66464	77.597015	969.1666666666666	140.8896759654546	40705	1779352
7719.475384235382	44	167.26057	35.727783	275.3139	116.30042	968.8333333333334	105.32555351016305	40691	1820043
7860.797314167023	45	160.29642	36.070965	264.10403	68.379105	931.9767441860465	194.09473692253374	40075	1860118
8000.197075366974	46	171.20674	55.00229	262.42007	15.917793	870.9347826086956	236.7919103140353	40063	1900181
8139.455861330032	47	141.19865	57.61039	261.3377	6.4620056	835.6875	296.9899799270732	40113	1940294
8280.511955499649	48	153.96056	69.48812	288.8313	-15.895985	780.0961538461538	326.14073529072743	40565	1980859
8418.987571716309	49	156.52759	55.41119	278.34308	9.237633	873.0652173913044	260.78905369915464	40161	2021020
8549.589245080948	50	173.12671	78.767204	280.67523	10.610344	724.125	315.78072537420195	40551	2061571
8685.821852207184	51	177.77988	59.79434	299.5749	22.258083	870.2173913043479	240.17547145544836	40030	2101601
8818.199479818344	52	179.58614	64.7817	292.54703	14.336937	818.6326530612245	286.5931977116588	40113	2141714
8948.027747154236	53	202.34903	66.28385	309.6627	49.646156	817.08	256.9918940355902	40854	2182568
9076.76245546341	54	201.43588	57.12621	285.8448	47.492615	825.6530612244898	257.93889096105835	40457	2223025
9210.2762966156	55	209.51746	50.244953	298.0004	129.95265	847.1458333333334	225.18788355350196	40663	2263688
9344.14797592163	56	199.65471	58.03801	295.0886	41.75422	870.4893617021277	225.68626994130165	40913	2304601
9471.843312740326	57	206.22084	59.208183	311.68518	54.765923	830.9591836734694	237.98301767431732	40717	2345318
9597.467388153076	58	223.8797	62.241074	307.00696	65.831604	728.1454545454545	272.54346897208677	40048	2385366
9730.52435183525	59	219.35393	58.320766	319.3421	138.77422	842.2083333333334	259.1482811002655	40426	2425792
9863.35492682457	60	212.839	57.53471	308.1396	61.04279	825.9795918367347	260.2689731009386	40473	2466265
9990.545470952988	61	210.91783	60.51003	319.42874	47.590683	800.0196078431372	265.17204849268524	40801	2507066
10111.345015764236	62	226.63327	65.58515	317.20056	25.531647	747.574074074074	279.3494162601443	40369	2547435
10236.863510131836	63	194.42395	60.433006	295.71268	23.458477	834.1875	251.19693935983776	40041	2587476
10370.480475902557	64	182.77211	48.163116	308.1111	43.51708	925.8636363636364	193.77899676377947	40738	2628214
10509.881246805191	65	172.11063	39.27902	308.33902	119.495926	971.1190476190476	101.95335123312229	40787	2669001
10642.668642520905	66	194.3493	57.059223	305.22186	53.93993	864.8297872340426	248.0216462026271	40647	2709648
10762.731414556503	67	242.45097	53.247826	314.1942	132.7821	693.7413793103449	280.2593355881377	40237	2749885
10885.64935874939	68	211.35619	58.641544	303.42065	49.377106	771.1730769230769	293.54430416193935	40101	2789986
11014.274049520493	69	204.23056	53.691177	306.93738	138.52461	894.8222222222222	199.27862001494725	40267	2830253
11139.465301990509	70	220.1479	59.65664	311.05774	130.56801	787.5686274509804	261.2314918785568	40166	2870419
11251.4155023098	71	256.0269	48.132538	312.81897	145.71336	609.0757575757576	263.2544172472395	40199	2910618
11371.805850982666	72	239.63853	60.649353	311.48434	28.544731	732.7272727272727	270.1517051614757	40300	2950918
11485.857727527618	73	254.5375	50.126263	323.26703	142.62927	628.71875	273.0880964056059	40238	2991156
11595.66587138176	74	257.99652	52.0006	315.0174	54.155212	579.927536231884	268.0205118064703	40015	3031171
11710.752236127853	75	244.39542	68.156624	324.9909	4.808773	624.2307692307693	294.39172068368464	40575	3071746
11834.766189575195	76	239.30064	57.273518	315.58417	128.55199	703.1206896551724	285.08577521004196	40781	3112527
11956.3320479393	77	225.54381	66.37122	317.55835	40.845627	670.0655737704918	318.21927015314765	40874	3153401
12062.616202354431	78	261.68906	50.26657	311.35083	55.534775	526.5263157894736	257.6453842868553	40016	3193417
12172.676578521729	79	243.15309	59.46639	311.3289	38.755135	607.1818181818181	280.1371368223022	40074	3233491
12305.857726812363	80	185.51898	50.192097	301.81207	42.31689	920.5681818181819	200.68591445423013	40505	3273996
12441.864115953445	81	162.54976	41.41168	252.63351	32.6857	900.5777777777778	263.7901934736003	40526	3314522
12583.775733709335	82	163.82687	44.536686	292.1599	45.688976	903.1555555555556	256.9883659758036	40642	3355164
12724.16080904007	83	165.34183	35.74842	290.31143	73.525475	957.4047619047619	173.24329981186926	40211	3395375
12866.558015346527	84	169.24373	32.806786	286.83725	39.344177	967.1190476190476	150.21036080887055	40619	3435994
13005.81470322609	85	164.28041	41.445465	280.9546	59.1819	913.9090909090909	234.7312600886595	40212	3476206
13143.436968564987	86	169.63766	45.413734	293.64044	53.677505	921.3863636363636	229.83642561900913	40541	3516747
13282.972720623016	87	176.29869	33.717117	299.7659	75.959946	962.452380952381	152.38847637674675	40423	3557170
13421.715692043304	88	177.19913	35.46493	282.16498	126.06856	965.452380952381	130.60194018484316	40549	3597719
13559.162367343903	89	182.90602	47.280785	313.36694	80.12402	917.75	222.63791690872097	40381	3638100
13692.149266004562	90	180.64037	48.806885	306.2751	63.816086	911.2727272727273	216.07946388017487	40096	3678196
