Time	Timestep	Episodes	AverageReturn	MaxReturn	Exploration
0.00012816985448201498	60000	64	-20.21875	-inf	0.946
2.3031234741210936e-05	70000	75	-20.2	-inf	0.9369999999999999
2.734661102294922e-05	80000	86	-20.186046511627907	-inf	0.9279999999999999
3.038644790649414e-05	90000	97	-20.20618556701031	-inf	0.919
3.0418237050374348e-05	100000	107	-20.26	-20.22	0.91
3.536542256673177e-05	110000	118	-20.3	-20.22	0.901
3.08076540629069e-05	120000	128	-20.3	-20.22	0.892
2.7318795522054035e-05	130000	139	-20.27	-20.22	0.883
3.025929133097331e-05	140000	150	-20.26	-20.22	0.874
1.904169718424479e-05	150000	162	-20.34	-20.22	0.865
2.9234091440836587e-05	160000	173	-20.37	-20.22	0.856
2.3158391316731772e-05	170000	184	-20.48	-20.22	0.847
3.0231475830078124e-05	180000	195	-20.48	-20.22	0.838
3.106991449991862e-05	190000	206	-20.43	-20.22	0.829
2.2530555725097656e-05	200000	217	-20.44	-20.22	0.82
5.424022674560547e-05	210000	227	-20.43	-20.22	0.8109999999999999
2.1751721700032552e-05	220000	238	-20.46	-20.22	0.802
2.8363863627115886e-05	230000	250	-20.46	-20.22	0.7929999999999999
3.039836883544922e-05	240000	260	-20.34	-20.22	0.784
5.3000450134277346e-05	250000	270	-20.26	-20.22	0.775
2.909104029337565e-05	260000	281	-20.25	-20.22	0.766
3.0291080474853515e-05	270000	291	-20.19	-20.19	0.757
3.164211908976237e-05	280000	301	-20.19	-20.16	0.748
6.014108657836914e-05	290000	312	-20.19	-20.16	0.739
3.012418746948242e-05	300000	323	-20.15	-20.15	0.73
2.9079119364420573e-05	310000	333	-20.12	-20.12	0.721
8.38478406270345e-05	320000	343	-20.11	-20.1	0.712
2.8165181477864585e-05	330000	352	-20.02	-20.02	0.703
2.5316079457600912e-05	340000	362	-20.04	-20.01	0.694
6.386041641235352e-05	350000	372	-20.09	-20.01	0.685
2.0511945088704427e-05	360000	382	-20.06	-20.01	0.6759999999999999
5.121231079101563e-05	370000	392	-19.98	-19.98	0.667
3.246466318766276e-05	380000	402	-19.95	-19.94	0.6579999999999999
3.405412038167318e-05	390000	412	-19.88	-19.88	0.649
3.068447113037109e-05	400000	421	-19.88	-19.84	0.6399999999999999
2.2272268931070965e-05	410000	430	-19.78	-19.76	0.631
3.181298573811849e-05	420000	438	-19.73	-19.73	0.622
4.734992980957031e-05	430000	447	-19.71	-19.66	0.613
1.8346309661865235e-05	440000	455	-19.71	-19.66	0.604
6.730953852335612e-05	450000	464	-19.62	-19.61	0.595
2.3674964904785156e-05	460000	472	-19.58	-19.58	0.586
2.0372867584228516e-05	470000	481	-19.5	-19.5	0.577
2.3424625396728516e-05	480000	489	-19.44	-19.43	0.5680000000000001
3.089110056559245e-05	490000	497	-19.37	-19.37	0.5589999999999999
3.1280517578125e-05	500000	504	-19.19	-19.19	0.55
4.901885986328125e-05	510000	511	-19.13	-19.13	0.5409999999999999
5.2591164906819664e-05	520000	518	-19.16	-19.12	0.532
2.262989679972331e-05	530000	525	-19.12	-19.1	0.5229999999999999
2.653201421101888e-05	540000	531	-18.96	-18.96	0.514
2.1998087565104166e-05	550000	537	-18.68	-18.68	0.5049999999999999
1.980463663736979e-05	560000	543	-18.67	-18.65	0.4959999999999999
3.146727879842122e-05	570000	549	-18.61	-18.61	0.487
3.084739049275716e-05	580000	555	-18.46	-18.46	0.478
4.9948692321777344e-05	590000	560	-18.32	-18.32	0.469
4.3233235677083336e-05	600000	565	-18.21	-18.21	0.45999999999999996
2.4616718292236328e-05	610000	571	-18.03	-18.03	0.45099999999999996
4.6543280283610026e-05	620000	576	-17.89	-17.89	0.44199999999999995
4.930496215820313e-05	630000	582	-17.84	-17.83	0.43299999999999994
3.1042098999023435e-05	640000	587	-17.77	-17.77	0.42399999999999993
5.244016647338867e-05	650000	593	-17.64	-17.64	0.4149999999999999
1.9462903340657554e-05	660000	598	-17.59	-17.54	0.4059999999999999
3.819863001505534e-05	670000	604	-17.56	-17.51	0.3969999999999999
3.9072831471761066e-05	680000	609	-17.45	-17.45	0.3879999999999999
5.434751510620117e-05	690000	614	-17.35	-17.35	0.379
5.1919619242350264e-05	700000	618	-17.14	-17.14	0.37
5.1081180572509766e-05	710000	623	-17.03	-17.03	0.361
3.1280517578125e-05	720000	628	-16.95	-16.95	0.352
5.334615707397461e-05	730000	632	-16.82	-16.82	0.34299999999999997
3.136396408081055e-05	740000	637	-16.84	-16.76	0.33399999999999996
5.2746136983235674e-05	750000	641	-16.62	-16.62	0.32499999999999996
1.9903977711995443e-05	760000	645	-16.39	-16.39	0.31599999999999995
2.785523732503255e-05	770000	650	-16.35	-16.34	0.30699999999999994
5.0457318623860675e-05	780000	654	-16.24	-16.24	0.29799999999999993
3.408988316853841e-05	790000	658	-16.15	-16.15	0.2889999999999999
2.2514661153157553e-05	800000	662	-15.98	-15.98	0.2799999999999999
5.0914287567138675e-05	810000	666	-15.82	-15.81	0.2709999999999999
3.989537556966146e-05	820000	671	-15.79	-15.74	0.262
6.119410196940105e-05	830000	676	-15.68	-15.68	0.253
4.841486612955729e-05	840000	679	-15.56	-15.56	0.244
4.914601643880208e-05	850000	684	-15.31	-15.31	0.235
1.9566218058268228e-05	860000	687	-15.18	-15.18	0.22599999999999998
