Time	Timestep	Episodes	AverageReturn	MaxReturn	Exploration
3.0330816904703776e-05	60000	66	-20.257575757575758	-inf	0.946
2.5963783264160158e-05	70000	77	-20.272727272727273	-inf	0.9369999999999999
2.9440720876057943e-05	80000	88	-20.306818181818183	-inf	0.9279999999999999
3.2047430674235024e-05	90000	99	-20.292929292929294	-inf	0.919
3.267526626586914e-05	100000	110	-20.34	-20.33	0.91
2.0778179168701173e-05	110000	121	-20.37	-20.33	0.901
2.1386146545410157e-05	120000	132	-20.36	-20.33	0.892
2.475579579671224e-05	130000	142	-20.3	-20.3	0.883
1.9701321919759116e-05	140000	153	-20.3	-20.3	0.874
4.813671112060547e-05	150000	164	-20.31	-20.3	0.865
3.252824147542318e-05	160000	175	-20.31	-20.29	0.856
3.100236256917318e-05	170000	186	-20.28	-20.28	0.847
2.10722287495931e-05	180000	197	-20.29	-20.26	0.838
3.135204315185547e-05	190000	208	-20.27	-20.26	0.829
3.322362899780273e-05	200000	219	-20.23	-20.23	0.82
6.444454193115235e-05	210000	229	-20.22	-20.21	0.8109999999999999
3.4244855244954425e-05	220000	239	-20.18	-20.18	0.802
5.199114481608073e-05	230000	250	-20.24	-20.18	0.7929999999999999
2.30868657430013e-05	240000	261	-20.26	-20.18	0.784
2.1505355834960938e-05	250000	272	-20.25	-20.18	0.775
2.2240479787190755e-05	260000	283	-20.27	-20.18	0.766
2.594788869222005e-05	270000	294	-20.2	-20.18	0.757
1.923640569051107e-05	280000	304	-20.14	-20.14	0.748
2.5264422098795573e-05	290000	315	-20.11	-20.09	0.739
4.51962153116862e-05	300000	325	-20.11	-20.09	0.73
3.218253453572591e-05	310000	335	-20.12	-20.09	0.721
2.6079018910725913e-05	320000	345	-20.05	-20.05	0.712
5.975166956583659e-05	330000	355	-19.94	-19.94	0.703
2.276897430419922e-05	340000	365	-19.86	-19.86	0.694
2.781947453816732e-05	350000	374	-19.86	-19.83	0.685
2.8045972188313804e-05	360000	384	-19.8	-19.8	0.6759999999999999
2.132256825764974e-05	370000	394	-19.79	-19.79	0.667
3.129243850708008e-05	380000	402	-19.7	-19.7	0.6579999999999999
5.811055501302083e-05	390000	412	-19.67	-19.66	0.649
3.056128819783529e-05	400000	421	-19.61	-19.58	0.6399999999999999
1.93635622660319e-05	410000	431	-19.51	-19.5	0.631
3.258387247721354e-05	420000	441	-19.54	-19.5	0.622
5.9437751770019534e-05	430000	450	-19.51	-19.5	0.613
1.977682113647461e-05	440000	459	-19.43	-19.43	0.604
4.261334737141927e-05	450000	468	-19.45	-19.41	0.595
2.9961268107096355e-05	460000	475	-19.31	-19.31	0.586
1.9661585489908855e-05	470000	484	-19.28	-19.25	0.577
4.751682281494141e-05	480000	492	-19.24	-19.24	0.5680000000000001
3.135999043782552e-05	490000	501	-19.3	-19.22	0.5589999999999999
3.467798233032226e-05	500000	509	-19.27	-19.22	0.55
1.9629796346028645e-05	510000	516	-19.13	-19.13	0.5409999999999999
6.006956100463867e-05	520000	524	-19.04	-19.04	0.532
2.9134750366210938e-05	530000	531	-18.99	-18.99	0.5229999999999999
4.955132802327474e-05	540000	538	-18.8	-18.8	0.514
5.346139272054036e-05	550000	545	-18.66	-18.66	0.5049999999999999
6.0375531514485674e-05	560000	552	-18.71	-18.63	0.4959999999999999
2.2300084431966145e-05	570000	558	-18.52	-18.52	0.487
4.1377544403076175e-05	580000	564	-18.31	-18.31	0.478
2.0956993103027345e-05	590000	570	-18.18	-18.18	0.469
2.0039081573486327e-05	600000	576	-18.06	-18.06	0.45999999999999996
3.1177202860514326e-05	610000	582	-17.96	-17.96	0.45099999999999996
5.437135696411133e-05	620000	587	-17.78	-17.78	0.44199999999999995
2.3774305979410808e-05	630000	592	-17.6	-17.6	0.43299999999999994
5.0628185272216796e-05	640000	597	-17.44	-17.44	0.42399999999999993
5.015929539998372e-05	650000	603	-17.21	-17.21	0.4149999999999999
4.2104721069335936e-05	660000	609	-17.12	-17.1	0.4059999999999999
5.128781000773112e-05	670000	614	-16.95	-16.95	0.3969999999999999
4.70280647277832e-05	680000	619	-16.85	-16.85	0.3879999999999999
5.184412002563476e-05	690000	624	-16.68	-16.68	0.379
3.182093302408854e-05	700000	629	-16.6	-16.6	0.37
2.400477727254232e-05	710000	635	-16.43	-16.43	0.361
5.385875701904297e-05	720000	639	-16.23	-16.23	0.352
4.570484161376953e-05	730000	643	-16.12	-16.12	0.34299999999999997
